0,1,2,3,4,5,6,7,8
https://twitter.com/penikmatkopisuu/status/1242238253970776065,2020-03-23 23:54:14+00:00,sama covid-19 takut tapi tukang tipu Tuhan lu pea,1242238253970776065,penikmatkopisuu,[],,[],
https://twitter.com/PotretNanda/status/1242238232982478848,2020-03-23 23:54:09+00:00,"Virus Covid-19 jd masalah global, muncul issu januari sampe bulan mart masih memakan korban jiwa. Semoga semua masih dalam lindunganNya aamiin",1242238232982478848,PotretNanda,[],,[],
https://twitter.com/sagtrainer/status/1242238194323566592,2020-03-23 23:53:59+00:00,#LAWANCOVID19_ MENCEGAH SERIBU KALI LEBIK DARIPADA MENGOBATI COVID-19https://acehonline.co/headline/plt-gubernur-aceh-minta-perbankan-sediakan-cairan-pembersih-tangan-di-mesin-atm/,1242238194323566592,sagtrainer,[],,[],
https://twitter.com/Abdulla33853180/status/1242238186241142785,2020-03-23 23:53:57+00:00,"Orang2 mah panik sama Corona kita mah panik sama overdju,.",1242238186241142785,Abdulla33853180,[],,[],
https://twitter.com/aldynorotama/status/1242238181497421824,2020-03-23 23:53:56+00:00,"Kalo corona selesai, aku mau serius sama kamu, aku mau jemput kamu ke sumbar. Ahh menghayal lagi gw :(",1242238181497421824,aldynorotama,[],,[],
https://twitter.com/byalenciaga/status/1242238152913215488,2020-03-23 23:53:49+00:00,mimpi jadi dokter terus ngobatin pasien corona artinya apa ya,1242238152913215488,byalenciaga,[],,[],
https://twitter.com/ekakeno/status/1242238051700453376,2020-03-23 23:53:25+00:00,"Sekali lagi, kena corona itu bukan aib.",1242238051700453376,ekakeno,[],,[],
https://twitter.com/Kangbucin25/status/1242238045228683264,2020-03-23 23:53:24+00:00,"Kenapa sekolah libur, tp pekerja pabrik tidak,?
Jawaban;
Karna covid 19 kesulitan untuk masuk pabrik.
Selain nilai UN mtk harus 6-7, belum lg harus lewt yayasan, harus bayar calo, dan harus punya orang dalem🤪
#tweetreceh",1242238045228683264,Kangbucin25,[],,[],
https://twitter.com/nayyasr/status/1242238042590437376,2020-03-23 23:53:23+00:00,"Corona menyebalkan, aku jadi di pantau karna pulang dari wilayah area tranmisi lokal",1242238042590437376,nayyasr,[],,[],
https://twitter.com/Munirgibrut3/status/1242238026069069824,2020-03-23 23:53:19+00:00,Corona ilang aku mau cium kamu sehari semalam 😂😂🤣🤣,1242238026069069824,Munirgibrut3,[],,[],
https://twitter.com/rosanoboy/status/1242238013087735809,2020-03-23 23:53:16+00:00,"Iseng-iseng liat trending twitter hari ini. Kalau yg paling santer di luar sana Covid-19, lah di sini lagi trending #nenen. Aja aja ada ni kountry.",1242238013087735809,rosanoboy,[],,[],
https://twitter.com/yukecino/status/1242237959266430976,2020-03-23 23:53:03+00:00,"Wish 2020:
Corona ilang, terus rabi dan dunia kembali sehat.

Udah itu aja dulu, gamau yg macem macem.",1242237959266430976,yukecino,[],,[],
https://twitter.com/imamer/status/1242237957295108096,2020-03-23 23:53:03+00:00,"dengan lambannya penanganan virus corona ini sepertinya agenda mudik lebaran terancam batal nih... dari @KAI121 sepertinya ada opsi bahwa perjalanan s.d 29 mei jika dibatalkan akan dapat refund 100%, bisakah dibatalkan secara online?",1242237957295108096,imamer,[],,[],
https://twitter.com/srir4a1/status/1242237949938298880,2020-03-23 23:53:01+00:00,"Dengan Islam kaffah permasalahan umat akan selesai, termasuk wabah Corona
 &gt;&gt; #MalapetakaRuntuhnyaKhilafah &lt;&lt;
 #RajabanBersamaKhilafah . #Remember1924
#FDD9

@Dian_Abqariah",1242237949938298880,srir4a1,[],,[],
https://twitter.com/BaBaroka_/status/1242237905810096129,2020-03-23 23:52:51+00:00,Qeky corona virusi asht dal si propagand me harru skandalin e Morena Tarakut,1242237905810096129,BaBaroka_,[],,[],
https://twitter.com/haziqikmal_/status/1242237856292061184,2020-03-23 23:52:39+00:00,Jangan gunakan covid-19 untuk scam orang yang beli barang online,1242237856292061184,haziqikmal_,[],,[],
https://twitter.com/AldySetiawanP/status/1242237846078947329,2020-03-23 23:52:36+00:00,"Buat kalian yang bocorin identitas pasien Covid-19, memang anda bajingan.",1242237846078947329,AldySetiawanP,[],,[],
https://twitter.com/frashhkeke1422/status/1242237789330010112,2020-03-23 23:52:23+00:00,Sblm ada corona aku tiap pagi emg suka bersin2 pilek :(,1242237789330010112,frashhkeke1422,[],,[],
https://twitter.com/Anggalubis221/status/1242237751694471174,2020-03-23 23:52:14+00:00,"WFH ,apakah kata ini berlaku buat para driver ojol ditengah merebaknya virus covid-19, jwbannya tidak..kami harus ttp dijalan,kami harus ttp melayani kalian yg ingin berpergian/membeli makan serta mengirim barang,demi perut keluarga kecil kami dirmh,kami lawan rasa takut itu..🤲",1242237751694471174,Anggalubis221,[],,[],
https://twitter.com/valaphrodite/status/1242237729649221632,2020-03-23 23:52:09+00:00,"bokap dapet obat dr temennya buat nangkal virus corona, sekeluarga disuruh pake tu obat tp bau bgt kek cuka apel astaghfirullah",1242237729649221632,valaphrodite,[],,[],
https://twitter.com/dydiitaa/status/1242237724758650880,2020-03-23 23:52:07+00:00,Hari ini sebenarnya pacar aku mau seminar proposal tapi dibatalkan dan dijadikan seminar online karena di Jambi sudah ada yg positif virus Covid-19 guys.,1242237724758650880,dydiitaa,[],,[],
