word,score,sentiment
menahan,2,pos
menajiskan,-3,neg
menakjubkan,4,pos
menaklukkan,-2,neg
menakut-nakuti,-4,neg
menakuti,-3,neg
menakutkan,-4,neg
menampar,-4,neg
menang,4,pos
menangguhkan,-2,neg
menangis,-3,neg
menangkal,2,pos
menangkap,2,pos
menantang,-3,neg
menarik,1,pos
mencabut,-2,neg
mencaci,-4,neg
mencampuri,-3,neg
mencapai,3,pos
mencatut,-3,neg
mencekek,-4,neg
mencekik,-4,neg
mencela,-4,neg
mencemari,-4,neg
mencemarkan,-4,neg
mencemooh,-4,neg
mencibir,-5,neg
mencintai,5,pos
mencium,3,pos
mencolok,-2,neg
mencubit,-3,neg
menculik,-4,neg
mencuri,-4,neg
mendambakan,3,pos
mendengkur,-2,neg
mendera,-2,neg
menderita,-4,neg
mendikte,-3,neg
mendiskreditkan,-3,neg
mendistorsi,-3,neg
mendominasi,-2,neg
mendorong,3,pos
menduga,-2,neg
mendukung,4,pos
mendunia,5,pos
mendustakan,-4,neg
menegakkan,4,pos
menegang,-2,neg
meneguk,-1,neg
menegur,2,pos
menekan,-3,neg
menelan,-1,neg
meneliti,3,pos
menembak,-1,neg
menentang,-3,neg
menentramkan,4,pos
menertawakan,-2,neg
menetap,1,pos
menetralisir,4,pos
mengabaikan,-3,neg
mengacaukan,-4,neg
mengagetkan,-3,neg
mengagumkan,4,pos
mengajak,4,pos
mengalah,4,pos
mengalahkan,1,pos
mengalihkan,-3,neg
mengalir,4,pos
mengamputasi,-3,neg
mengamuk,-4,neg
mengancam,-4,neg
menganggur,-4,neg
menganiaya,-4,neg
mengasihimu,4,pos
mengatai,-4,neg
mengawur,-4,neg
mengayunkan,-1,neg
mengecam,-3,neg
mengecewakan,-4,neg
mengecualikan,-3,neg
mengejar,-1,neg
mengejek,-4,neg
mengejutkan,-1,neg
mengeksekusi,-1,neg
mengekspos,-1,neg
mengelabui,-4,neg
mengeluh,-4,neg
mengemis,-4,neg
mengenakan,3,pos
mengepung,-1,neg
mengerang,-1,neg
mengerikan,-4,neg
mengeruk,-3,neg
mengerut,-2,neg
menggagalkan,-1,neg
menggairahkan,1,pos
menggambarkan,1,pos
mengganggu,-3,neg
menggantung,-3,neg
menggelapkan,-4,neg
menggelegar,4,pos
menggelepar,-3,neg
menggeliat,-2,neg
menggelikan,-2,neg
menggemari,-3,neg
menggemaskan,3,pos
menggembirakan,4,pos
